Index,Last Name,Given Name,Year,Location,Citation,ACM Fellow Profile,Google Scholar Profile,Affiliation,Interests
19,Hicks,Michael W,2022,USA,"For contributions to programming language design and implementation,
program analysis, and software security.",https://awards.acm.org/award-recipients/hicks_UI16381,https://scholar.google.com/citations?user=Gggzp7UAAAAJ,"Senior Principal Scientist, AWS, and Professor Emeritus, UMD",programming languages software security
20,Xing,Eric,2022,USA,"For contributions to algorithms, architectures, and applications in machine learning
",https://awards.acm.org/award-recipients/xing_9708021,https://scholar.google.com/citations?user=5pKTRxEAAAAJ,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie …",Machine Learning ML Systems Optimization Statistics Network Analysis
21,Sullivan,Gary J.,2022,USA,For contributions to video and image compression and leadership in its standardization,https://awards.acm.org/award-recipients/sullivan_4760472,https://scholar.google.com/citations?user=5g5a1SgAAAAJ,"Video & Image Technology Architect, Microsoft Corporation",Video coding Image coding Quantization Multimedia signal processing Image and video processing
22,Navarro,Gonzalo,2022,Chile,For theoretical and practical contributions to the fields of text searching and compact data structures,https://awards.acm.org/award-recipients/navarro_UI58921,https://scholar.google.com/citations?user=_fx52FkAAAAJ,University of Chile,algorithms and data structures text searching compression similarity search
23,Zheng,Haitao,2022,USA,For contributions to wireless networking and mobile computing,https://awards.acm.org/award-recipients/zheng_5064513,https://scholar.google.com/citations?user=XrIr0nYAAAAJ,"Neubauer Professor of Computer Science, University of Chicago",Mobile Computing Wireless networks Security and Privacy
24,Ishii,Hiroshi,2022,USA,For contributions to tangible user interfaces and to human-computer interaction,https://awards.acm.org/award-recipients/ishii_3185337,https://scholar.google.com/citations?user=wS0qP_MAAAAJ,"Jerome B. Wiesner Professor of Media Arts and Sciences, Associate Director of MIT Media …",Human-Computer Interaction Tangible User Interfaces Tangible Bits Radical Atoms Telepresence
25,Mei,Hong,2022,China,"For contributions to software engineering research and translation, and establishing  research standards in China",https://awards.acm.org/award-recipients/mei_8736937,https://scholar.google.com/citations?user=RU3rpYsAAAAJ,University of Hong Kong,Igneous Petrology Economic Geology Ore Deposits HKU-DES
26,Teevan,Jaime,2022,USA,"For contributions to human-computer interaction, information retrieval, and productivity",https://awards.acm.org/award-recipients/teevan_3995073,https://scholar.google.com/citations?user=F5Ik84MAAAAJ,"Chief Scientist & Technical Fellow, Microsoft",Information Retrieval Human-Computer Interaction Future of Work Personal Information Management Crowdsourcing
27,Hong,Jason,2022,USA,For contributions to ubiquitous computing and to usable privacy and security,https://awards.acm.org/award-recipients/hong_4784823,https://scholar.google.com/citations?user=MoFbcc0AAAAJ,Carnegie Mellon University,Human-Computer Interaction HCI Usable Privacy and Security Mobile computing Social Computing
28,Stasko,John,2022,USA,"For contributions to the design, analysis, usage, and evaluation of software and information visualization",https://awards.acm.org/award-recipients/stasko_2936201,https://scholar.google.com/citations?user=2PxFftgAAAAJ,"Regents Professor of Interactive Computing, Georgia Institute of Technology",Information Visualization Visual Analytics Human-Computer Interaction
29,Deb,Kalyanmoy,2022,USA,"For technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support
",https://awards.acm.org/award-recipients/deb_9497348,https://scholar.google.com/citations?user=paTAXiIAAAAJ,"Koenig Endowed Chair Professor, Electrical and Computer Engineering, Michigan State …",Optimization Evolutionary Computation Multiobjective optimization Machine Learning Artificial Intelligence
30,Toyama,Kentaro,2022,USA,For contributions to the innovation and critique of digital technology for socio-economic development and social justice,https://awards.acm.org/award-recipients/toyama_4938668,https://scholar.google.com/citations?user=JdxjEQIAAAAJ,"University of Michigan, School of Information",Global Development ICT and Development Human-Computer Interaction Multimedia Computer Vision
31,Fu,Kevin,2022,USA,"""For contributions to computer security, and especially to the secure engineering of medical devices.""
",https://awards.acm.org/award-recipients/fu_4063954,https://scholar.google.com/citations?user=8uK6aCEAAAAJ,"Professor, Northeastern University, ECE and Khoury College of Computer Sciences",security embedded systems medical devices analog cyber security health care cybersecurity
32,Ceze,Luis H,2022,USA,For contributions to developing new architectures and programming systems for emerging applications and computing technologies,https://awards.acm.org/award-recipients/ceze_7000466,,,[]
33,Agrawala,Maneesh,2022,USA,"For contributions to visual communication through computer graphics, human-computer interaction, and information visualization",https://awards.acm.org/award-recipients/agrawala_4314621,https://scholar.google.com/citations?user=YPzKczYAAAAJ,Stanford University,Graphics Computer Graphics HCI Visualization
34,Hermenegildo,Manuel V,2022,Spain,"For contributions to program analysis, verification, parallelism, logic programming, and the IMDEA Software Institute",https://awards.acm.org/award-recipients/hermenegildo_2534550,,,[]
35,Pollefeys,Marc,2022,Switzerland,"For contributions to geometric computer vision and applications to AR/VR/MR, robotics, and autonomous vehicles",https://awards.acm.org/award-recipients/pollefeys_C104881,https://scholar.google.com/citations?user=YYH0BjEAAAAJ,"Professor of Computer Science, ETH Zurich, and Director Mixed Reality and AI Lab Zurich …",Computer Vision Computer Graphics Robotics Machine Learning Augmented Reality
36,Beaudouin-Lafon,Michel,2022,France,"For contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership",https://awards.acm.org/award-recipients/beaudouin-lafon_4460754,https://scholar.google.com/citations?user=OucrYFkAAAAJ,Université Paris-Saclay,Human-Computer Interaction Computer-Supported Cooperative Work
37,Chawla,Nitesh,2022,USA,"For contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations",https://awards.acm.org/award-recipients/chawla_0295022,https://scholar.google.com/citations?user=hDLBEhkAAAAJ,"Frank Freimann Professor of Computer Science & Engg., Notre Dame",Data science machine learning network science
38,Boncz,Peter,2022,Netherlands,"For contributions to the design of columnar, main-memory, and vectorized database systems",https://awards.acm.org/award-recipients/boncz_UJ15638,https://scholar.google.com/citations?user=DCIZE1kAAAAJ,"Professor, VU University Amsterdam & CWI",Database Systems Column Stores Vectorized Execution Graph/RDF querying
39,Qureshi,Moinuddin,2022,USA,For contributions to memory hierarchy design,https://awards.acm.org/award-recipients/qureshi_6889096,https://scholar.google.com/citations?user=EWU0STsAAAAJ,"Professor, Georgia Institute of Technology",Computer Architecture Memory Systems Hardware Security Quantum Computing
40,Atienza Alonso,David,2022,Switzerland,For contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures,https://awards.acm.org/award-recipients/atienzaalonso_1847292,,,[]
41,Henkel,Joerg,2022,Germany,For contributions to hardware/software co-design of power and thermal efficient embedded computing,https://awards.acm.org/award-recipients/henkel_6636986,https://scholar.google.com/citations?user=AmnIAhEAAAAJ,"Professor of Computer Science, Karlsruhe Institute of Technology",Embedded Systems Systems-on-Chip Dependable Systems Low Power Design Thermal Design
42,Khuller,Samir,2022,USA,For contributions to algorithm design with real-world implications and for mentoring and community-building,https://awards.acm.org/award-recipients/khuller_3390846,https://scholar.google.com/citations?user=6vXTtDQAAAAJ,"Barris Professor and Chair of Computer Science, Northwestern University",Algorithms
43,Soatto,Stefano,2022,USA,For contributions to the foundations and applications of visual geometry and visual representations learning,https://awards.acm.org/award-recipients/soatto_7972221,https://scholar.google.com/citations?user=lH1PdF8AAAAJ,"Professor of Computer Science, UCLA; VP, AWS",Computer Vision Machine Learning Artificial Intelligence Robotics Augmented Reality
44,Marculescu,Radu,2022,USA,"For contributions to low-power and communication-based design of embedded systems
",https://awards.acm.org/award-recipients/marculescu_4937777,https://scholar.google.com/citations?user=ZCmYP5cAAAAJ,The University of Texas at Austin,embedded systems cyber-physical systems biological systems social networks
45,Pass,Rafael,2022,USA,"For contributions to the foundations of cryptography
",https://awards.acm.org/award-recipients/pass_0705801,https://scholar.google.com/citations?user=_7IzKZQAAAAJ,"Tel-Aviv University, Cornell Tech",theory of computation cryptography
46,Chandra,Ranveer,2022,USA,"For contributions to software-defined wireless networking and applications to agriculture and rural broadband
",https://awards.acm.org/award-recipients/chandra_0015439,https://scholar.google.com/citations?user=Zq4ioqu5yb8C,"Managing Director, Research for Industry, GM Networking Research, Microsoft Research",Networking Wireless Food Agriculture Space
47,Vidal,Rene,2022,USA,For contributions to subspace clustering and motion segmentation in computer vision,https://awards.acm.org/award-recipients/vidal_6695711,https://scholar.google.com/citations?user=uT8fgagAAAAJ,"Rachleff University Professor, University of Pennsylvania; Amazon Scholar; NORCE Chief …",Machine Learning Computer Vision Biomedical Data Science Artificial Intelligence Control Theory
48,Irani,Sandy,2022,USA,For contributions to the theory of online algorithms and quantum complexity theory,https://awards.acm.org/award-recipients/irani_4469078,https://scholar.google.com/citations?user=dBhm_oIAAAAJ,"Professor of Computer Science, University of California, Irvine",online algorithms quantum computation
49,Elbaum,Sebastian,2022,USA,"For contributions to the analysis and testing of evolving systems and robotic systems
",https://awards.acm.org/award-recipients/elbaum_UK19687,https://scholar.google.com/citations?user=swPW5FYAAAAJ,"Professor of Computer Science, University of Virginia",software engineering robotics
50,Helal,Sumi,2022,USA,"For contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility",https://awards.acm.org/award-recipients/helal_3653854,https://scholar.google.com/citations?user=mTJLF-sAAAAJ,"Professor, University of Florida",Digital Health Smart Homes Internet of Things Pervasive Computing Mobile Computing
51,Sherwood,Tim,2022,USA,For contributions to computer system security and performance analysis,https://awards.acm.org/award-recipients/sherwood_4975710,https://scholar.google.com/citations?user=nLuHfy4AAAAJ,"Professor of Computer Science, UC Santa Barbara",Computer Architecture Hardware Security Processor Design Security Hardware
52,Hoefler,Torsten,2022,Switzerland,"For foundational contributions to High Performance Computing and the application of HPC techniques to machine learning
",https://awards.acm.org/award-recipients/hoefler_4381890,https://scholar.google.com/citations?user=DdBvcBEAAAAJ,Professor of Computer Science at ETH Zurich,High Performance Computing Deep Learning Networking Message Passing Interface Parallel and Distributed Computing
53,Zhu,Wenwu,2022,China,"For contributions to multimedia networking and network representation
",https://awards.acm.org/award-recipients/zhu_0220763,https://scholar.google.com/citations?user=7t2jzpgAAAAJ,"AAAS/ACM/IEEE/SPIE Fellow, Tsinghua Univerisity",Multimedia Communications Multimedia Analysis Network Representation
54,Lin,Jimmy,2022,USA,"For contributions to question answering, information retrieval, and natural language processing
",https://awards.acm.org/award-recipients/lin_6998795,https://scholar.google.com/citations?user=3CXNeXkAAAAJ,University of Maryland,Learning science Programming education Maker education
55,Yu,Yizhou,2022,Hong Kong,For contributions to computer graphics and computer vision,https://awards.acm.org/award-recipients/yu_4734414,https://scholar.google.com/citations?user=e38fTZQAAAAJ,"The University of Hong Kong,   ACM Fellow & IEEE Fellow",Computer Graphics Computer Vision Image Processing Medical Image Analysis
56,Fang,Yuguang,2022,Hong Kong,For contributions to wireless networks and mobile computing,https://awards.acm.org/award-recipients/fang_5177712,https://scholar.google.com/citations?user=dJgRKmwAAAAJ,"Chair Professor of Internet of Things, Department of Computer Science, City University of …",Internet of Things Connected and autonomous vehicles cybersecurity smart and connected health Wireless networks
57,Su,Zhendong,2022,Switzerland,For contributions to software testing and analysis,https://awards.acm.org/award-recipients/su_4914685,https://scholar.google.com/citations?user=RivxoIcAAAAJ,"Professor of Computer Science, ETH Zurich",Programming Languages Software Engineering Computer Security Machine Learning Educational Technologies
58,Dey,Anind,2021,USA,For contributions to ubiquitous computing and large-scale behavioral studies,https://awards.acm.org/award-recipients/dey_0555709,https://scholar.google.com/citations?user=ydA8Q5AAAAAJ,University of Washington,human-computer interaction ubiquitous computing mobile computing intelligent user interfaces machine learning
59,Gupta,Anupam,2021,USA,"For contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings",https://awards.acm.org/award-recipients/gupta_9367426,https://scholar.google.com/citations?user=g87CIwgAAAAJ,Professor of Computer Science at Carnegie Mellon University,Theoretical Computer Science
60,Sistla,Aravinda P,2021,USA,"For contributions to verifying concurrent programs, probabilistic systems, security and database systems",https://awards.acm.org/award-recipients/sistla_2470656,https://scholar.google.com/citations?user=P-wJ6Y4AAAAJ,"Professor of Computer Science, University of Illinois at Chicago",Formal Methods Model checking Verification of Concurrent Systems Security Database Systems
61,Friedman,Batya,2021,USA,For contributions to human values in the technical design process,https://awards.acm.org/award-recipients/friedman_3437027,https://scholar.google.com/citations?user=dkjR4cAAAAAJ,"Professor of Information, University of Washington",Human-computer interaction Value sensitive design Multi-lifespan design Tech policy
62,Nebel,Bernhard,2021,Germany,"For contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics
",https://awards.acm.org/award-recipients/nebel_7811934,https://scholar.google.com/citations?user=4MhUHPcAAAAJ,"Professor für Informatik, Universität Freiburg",artificial intelligence automated planning multi-agent path finding knowledge representation robotics
63,Schiele,Bernt,2021,Germany,"For contributions to large-scale object recognition, human detection, and pose estimation",https://awards.acm.org/award-recipients/schiele_5009214,https://scholar.google.com/citations?user=z76PBfYAAAAJ,"Professor, Max Planck Institute for Informatics, Saarland Informatics Campus, Saarland …",Computer Vision Machine Learning Artificial Intelligence Autonomous Driving Scene Understanding
64,Nikolaj,Bjorner,2021,USA,For contributions to SMT solvers and network verification,https://awards.acm.org/award-recipients/nikolaj_6098119,https://scholar.google.com/citations?user=kja6dIzH9GwJ,Microsoft Research,Automated Deduction Systems Software Engineering
65,Ganesan,Deepak,2021,USA,"For contributions to ultra-low power wireless sensing systems
",https://awards.acm.org/award-recipients/ganesan_6469654,https://scholar.google.com/citations?user=cbTB5-EAAAAJ,"Professor of Computer Science, UMass Amherst",Wearable and Sensor computing Mobile systems Backscatter communication Mobile health
66,Li,Feifei,2021,China,For contributions to query processing and optimization and to cloud database systems,https://awards.acm.org/award-recipients/li_2526881,https://scholar.google.com/citations?user=rDfyQnIAAAAJ,"Professor of Computer Science, Stanford University",Artificial Intelligence Machine Learning Computer Vision Neuroscience
67,White,Ryen W,2021,USA,"For contributions to information retrieval, human-computer interaction, and computational health",https://awards.acm.org/award-recipients/white_6607089,https://scholar.google.com/citations?user=U69fiZMAAAAJ,"General Manager, Deputy Lab Director, Microsoft Research",Information Retrieval Human-Computer Interaction Machine Learning Psychology Health
68,Tehranipoor,Mark,2021,USA,For contributions to microelectronics security and trust,https://awards.acm.org/award-recipients/tehranipoor_3149580,https://scholar.google.com/citations?user=n9JsBeAAAAAJ,"Intel Charles E. Young Endowed Chair Professor, ECE, University of Florida",Microelectronics Security and Trust IoT Security Semiconductor Supply Chain Security
69,Sheffer,Alla,2021,Canada,"For contributions to geometry processing, mesh parameterization, and perception-driven shape analysis and modeling",https://awards.acm.org/award-recipients/sheffer_C106914,https://scholar.google.com/citations?user=IgkGxLsAAAAJ,"Professor, Computer Science, University of British Columbia, Canada",Computer Graphics graphics geometry processing geometric modeling
70,Waters,Brent,2021,USA,For contributions to cryptography,https://awards.acm.org/award-recipients/waters_3058089,https://scholar.google.com/citations?user=VEKxHOAAAAAJ,University of Texas at Austin,Cryptography Computer Security
71,Miller,Dale A,2021,France,For contributions to proof theory and computational logic,https://awards.acm.org/award-recipients/miller_2617538,,,[]
72,Choudhury,Tanzeem,2021,USA,For contributions to mobile systems for behavioral sensing and health interventions,https://awards.acm.org/award-recipients/choudhury_3175955,https://scholar.google.com/citations?user=-pyztDMAAAAJ,"Professor, Computing and Information Science, Cornell Tech",digital health ubiquitous computing mobile systems
73,Liu,Tie-Yan,2021,China,"For contributions to machine learning algorithms and their applications
",https://awards.acm.org/award-recipients/liu_2478350,,,[]
74,Chang,Edward Y,2021,USA,For contributions to scalable machine learning and healthcare,https://awards.acm.org/award-recipients/chang_4684536,https://scholar.google.com/citations?user=pZmOvyYAAAAJ,Stanford University,Scalable Machine Learning Active Learning P4 Medicine Multimedia
75,Hazan,Elad,2021,USA,For contributions to efficient algorithms for convex and nonconvex optimization,https://awards.acm.org/award-recipients/hazan_7142407,https://scholar.google.com/citations?user=LnhCGNMAAAAJ,Professor at Princeton University and Director Google AI Princeton,Machine Learning Mathematical Optimization
76,Mossel,Elchanan,2021,USA,For contributions to theoretical computer science and inference,https://awards.acm.org/award-recipients/mossel_0709865,https://scholar.google.com/citations?user=5t2myD8AAAAJ,"Professor of Mathematics, MIT",Combinatorial Statistics Discrete Fourier Analysis and Influences Randomized Algorithms Computational Complexity MCMC
77,Gabrilovich,Evgeniy,2021,USA,"For contributions to the acquisition, representation, and dissemination of web-knowledge with applications to the medical domain",https://awards.acm.org/award-recipients/gabrilovich_5181813,https://scholar.google.com/citations?user=DKCx8hcAAAAJ,"Research Director, Facebook Reality Labs",Artificial Intelligence Machine Learning Information Retrieval Natural Language Processing Healthcare
78,Das,Gautam,2021,USA,For contributions to database search and graph algorithms,https://awards.acm.org/award-recipients/das_4900977,https://scholar.google.com/citations?user=oleB9xIAAAAJ,"Distinguished University Chair Professor, CSE Dept, University of Texas at Arlington",databases data mining machine learning algorithms computational geometry
79,Ricart,Glenn,2021,USA,"For leadership in creating advanced research infrastructure including the first Internet interconnection point
",https://awards.acm.org/award-recipients/ricart_1241702,https://scholar.google.com/citations?user=xqach48AAAAJ,US Ignite,Edge infrastructure Distributed algorithms virtualized networks
80,Li,Hai,2021,USA,For contributions to neuromorphic computing and deep-learning acceleration,https://awards.acm.org/award-recipients/li_8793251,https://scholar.google.com/citations?user=u7xU-J4AAAAJ,"Institute of Advanced Materials, Nanjing Tech University",Fabrication and and applications of two … Micro- & Nanopatterning
81,Franke,Hubertus,2021,USA,"For contributions to the communication, concurrency and resource control in parallel systems",https://awards.acm.org/award-recipients/franke_0111101,https://scholar.google.com/citations?user=iklPa0oAAAAJ,"Distinguished Research Staff Member, IBM Research",Operating systems Computer architecture Cloud computing Compilers Robotics
82,Wobbrock,Jacob Otto,2021,USA,"For contributions to human-computer interaction and accessible computing
",https://awards.acm.org/award-recipients/wobbrock_3026192,,,[]
83,Ouaknine,Joel,2021,Germany,For contributions to algorithmic analysis of dynamical systems,https://awards.acm.org/award-recipients/ouaknine_6048259,https://scholar.google.com/citations?user=ZfE4iQ4AAAAJ,"Director, Max Planck Institute for Software Systems (MPI-SWS), Saarland Informatics …",Foundations of algorithmic verification linear dynamical systems model checking logic theoretical computer science
84,Katz,Jonathan,2021,USA,For contributions to cryptographic protocol design and cryptography education,https://awards.acm.org/award-recipients/katz_1276948,https://scholar.google.com/citations?user=H4rKFc8AAAAJ,"Professor of Computer Science, University of Maryland",Cryptography Computer Security Theoretical Computer Science
85,Gal-Ezer,Judith,2021,Israel,For contributions to research and implementation in computer science education,https://awards.acm.org/award-recipients/gal-ezer_3857372,https://scholar.google.com/citations?user=Z67FftMAAAAJ,The Open university of Israel,CS Education: curricula gender teacher training
86,Adleman,Leonard M.,2021,USA,"For contributions to making public-key cryptography useful in practice
",https://awards.acm.org/award-recipients/adleman_7308544,,,[]
87,Eeckhout,Lieven,2021,Belgium,For contributions in computer architecture performance analysis and modeling,https://awards.acm.org/award-recipients/eeckhout_6935601,https://scholar.google.com/citations?user=biYmJXsAAAAJ,"Professor of Computer Science and Engineering, Ghent University",Computer Architecture Hardware/Software Interface
88,Zhong,Lin,2021,USA,For contributions to mobile and network systems,https://awards.acm.org/award-recipients/zhong_5960281,https://scholar.google.com/citations?user=HeHFFW8AAAAJ,Georgia Institute of Technology; Beijing Institute of Nanoenergy and Nanosystems,nanogenerator self-powered sensors/systems blue energy piezotronics piezo-phototronics
89,Camp,Linda Jean,2021,USA,For contributions to computer security and e-crime measures,https://awards.acm.org/award-recipients/camp_4022810,,,[]
90,Trevisan,Luca,2021,Italy,For contributions to complexity theory and combinatorial optimization,https://awards.acm.org/award-recipients/trevisan_1476744,https://scholar.google.com/citations?user=4yuKD_AAAAAJ,Bocconi University,Theoretical Computer Science
91,Braverman,Mark,2021,USA,"For contributions to computational complexity, information theory, and algorithmic mechanism design",https://awards.acm.org/award-recipients/braverman_9877897,,,[]
92,Farach-Colton,Martin,2021,USA,For contributions to data structures for biocomputing and big data,https://awards.acm.org/award-recipients/farach-colton_N017087,https://scholar.google.com/citations?user=2uHUSa8AAAAJ,"Distinguished Professor of Computer Science, Rutgers University",Algorithms Data Structures External Memory Storage Systems
93,Mason,Matthew T,2021,USA,For contributions to robotic manipulation and manipulation path planning,https://awards.acm.org/award-recipients/mason_5093703,https://scholar.google.com/citations?user=D_JpQnAAAAAJ,"Professor of Robotics and Computer Science, Carnegie Mellon University",Robotics Robotic Manipulation Motion Planning
94,Balakrishnan,Meenakshi,2021,India,"For contributions to system-level design, embedded systems and assistive technologies for the visually impaired",https://awards.acm.org/award-recipients/balakrishnan_4440475,https://scholar.google.com/citations?user=G8StE6wAAAAJ,Clinical Project Manager,Biomedical Research Public Health Health Services Research Emergency Medicine
95,Yang,Ming-Hsuan,2021,USA,"For contributions to visual tracking, face processing, and low-level vision",https://awards.acm.org/award-recipients/yang_4468088,https://scholar.google.com/citations?user=p9-ohHsAAAAJ,University of California at Merced; Google,Computer Vision Machine Learning Artificial Intelligence
96,Zaki,Mohammed,2021,USA,For contributions to data mining algorithms and foundations,https://awards.acm.org/award-recipients/zaki_4721650,https://scholar.google.com/citations?user=UmwJklEAAAAJ,"Professor & Head, Computer Science Department, RPI",Data Mining Machine Learning Graph Mining Bioinformatics
97,Shah,Mubarak Ali,2021,USA,For contributions to human action recognition in video and leadership for undergraduate research experience,https://awards.acm.org/award-recipients/shah_2657963,https://scholar.google.com/citations?user=XgWlZVMAAAAJ,UNIVERSITI ISLAM ANTARABANGSA SULTAN ABDUL HALIM MU'ADZAM SHAH,KAUNSELING ISLAM
98,Singh,Munindar P.,2021,USA,For contributions to artificial intelligence and multiagent systems and their applications in service-oriented computing and sociotechnical systems,https://awards.acm.org/award-recipients/singh_4715637,https://scholar.google.com/citations?user=qNznu3kAAAAJ,"Professor of Computer Science, North Carolina State University",Multiagent Systems Service-Oriented Computing Software Engineering Social Computing
99,Li,Ninghui,2021,USA,"For contributions to data privacy, access control, and trust management",https://awards.acm.org/award-recipients/li_UJ45057,https://scholar.google.com/citations?user=XpHwrPsAAAAJ,"Professor of Computer Science, Purdue University",Privacy
100,Inverardi,Paola,2021,Italy,For contributions to software architecture,https://awards.acm.org/award-recipients/inverardi_4724209,https://scholar.google.com/citations?user=x8XlRFgAAAAJ,Professor of Computer Science,software engineering
101,Zhao,Ben Y.,2021,USA,"For contributions to peer-to-peer systems and online social networks
",https://awards.acm.org/award-recipients/zhao_4998316,https://scholar.google.com/citations?user=cYReSuEAAAAJ,"Neubauer Professor of Computer Science, University of Chicago",Security Adversarial Machine Learning Mobile Computing HCI Online Social Networks
102,Cohen-Or,Daniel,2021,Israel,"For contributions to computer graphics, geometry processing and visual computing",https://awards.acm.org/award-recipients/cohen-or_8339869,https://scholar.google.com/citations?user=fAxws1sAAAAJ,"Professor of Computer Science, Tel Aviv University",Graphics Imaging Geometric Modeling
103,Bader,David A,2021,USA,"For contributions to high-performance computing systems, graph analytics, and technical leadership in parallel computing",https://awards.acm.org/award-recipients/bader_4554572,https://scholar.google.com/citations?user=uXUA1pgAAAAJ,"Distinguished Professor, New Jersey Institute of Technology",data science high performance computing cybersecurity massive-scale analytics computational genomics
